(Do Not Modify) Province,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Abbreviation,Created On
0820468d-d9a5-e611-80bb-00155d64ab22,PZPZlxXr7bZ4JjPjUsbhKygaPCkP0aPhl+To/mWQbVOQ2DNFBTxtDL2hsA7GNcY4LTJzdPTGitZeLghlwAJMaA==,2017-10-11 16:17,South Carolina,SC,2016-11-08 10:34
0a20468d-d9a5-e611-80bb-00155d64ab22,BrltcVxHBe5hImmT9HboCLo7briIOjBxKY0ll+WPAbayU36QHtXGBulwf5iIFtyCpIyk4AR7M0XPjLEDxL3UFg==,2017-10-11 16:17,South Dakota,SD,2016-11-08 10:34
0e20468d-d9a5-e611-80bb-00155d64ab22,WjnjT7mDJJ5f0WcY1E+yfw3LPOTEOCa46ufn3Vcu5r4IKiJEldtrdCUkfC6UVpGsUYGENyHCPxIfO5EbL+Bd+g==,2017-10-11 16:17,Tennessee,TN,2016-11-08 10:34
e4b431ad-977c-e911-a990-000d3af438b6,FuN8NaxwOYIpuBZjfOQaN2miVbMfcPhxralJ3rXxCADD8jmfDlu66OFwE3ZBoEdbfBL+FI2MEymq8yUgsKXhbA==,2019-07-12 15:46,TEXAS,TX,2019-05-22 7:44
1020468d-d9a5-e611-80bb-00155d64ab22,RiK3XTZ7/NgED802Dn/iVS823L4wE9FNQ5XzW4pGvRZ8LLyyuloDQGref+ATR6SH3UZHpdAQ91D27TIpGECeow==,2017-10-11 16:17,Texas,TX,2016-11-08 10:34
1220468d-d9a5-e611-80bb-00155d64ab22,/GPQFMUf4wPIeibNKCDFemaLBVcAg64ejRGKoclJBFA9DiVRu+n4vnbi8G1FReU+9Zc0Q3ZQ9k9L3xpmKyIqBw==,2017-10-11 16:17,Utah,UT,2016-11-08 10:34
d43c552b-8ff1-e811-817b-480fcff4b171,Sw16KlRQJDgVH/4n2CV6TZUednBTEN9dk7bBR6AKk5v0FQTAS3T/aGOh1guNNbxNBdtoMn72/yFmFWgqYtYvyA==,2018-11-26 15:23,Utrecht,,2018-11-26 8:23
5fc2e083-dda5-e611-80bb-00155d64ab22,LRKsjcq5SGc/xTb2+VRgAD0bxU1J4s7AbsGY1BFhBdEfAe7w7IQ8eOHvUSsOwpEZXhn9MDoCSZAvRiOecpJ6eg==,2017-10-11 16:17,Vermont,VT,2017-09-14 14:08
4d5361db-85d5-e811-816f-480fcfeab9c1,tRNljsiSvckuOXwpPS7+yrbdSbRQRCZho4nqh7RgZk6441N9XH0JqXOS4eQkaf3mpeWr5rZ0oPve3kbUrQnnjw==,2018-10-21 23:05,VICTORIA,VIC,2018-10-21 17:05
cf3ebc00-bb57-e911-a989-000d3af438b6,g+Z79cpkbS9i8pvlAA7gs2UKJJ6k3qOacAOqSx2RoEsmf1Hvq9O1oGewQFcXP11M0v/cFDtg/7Pj2LbhHShutA==,2019-04-05 15:53,Viña Del Mar,Viña Del Mar,2019-04-05 9:53
1420468d-d9a5-e611-80bb-00155d64ab22,w+QushOItXZ+MvARB+moWJxuco/SL65YJltYfC3prA9Sm0KN6e3WSCGmIcNiUJIOGbwFJgEgXueY8sJbl3q9bg==,2017-10-11 16:17,Virginia,VA,2016-11-08 10:34
1620468d-d9a5-e611-80bb-00155d64ab22,30RGj++XmQEMQi60AjmpVq9OAfNdnvKeFp/v+OILHdpm/DAfye0ybUVFDt2u/Hy5xp7OoUpupHygoE2NRXm5NQ==,2017-10-11 16:17,Washington,WA,2016-11-08 10:34
d37c3694-dda5-e611-80bb-00155d64ab22,BkH/QVi9RnQXKurKyC9DgLq78xfKLWR+51bAadmJdFDHu6MWlp673xuOKFcLEyjvqnUcIS2jdRw8W7V5uux3/A==,2017-10-11 16:17,West Virginia,WV,2017-09-14 14:08
b005a1bc-b0eb-e811-817b-480fcff4b171,3a+0xq83gmaUxUKNygo6S7U3OEf5VoizgeRAtNDVqtNw/ZwFXC8YvXXb/wCHERrNSMbi/IHqn2UwSLM8sZDwLg==,2018-11-19 4:08,Western Australia,WA,2018-11-18 21:08
26a92f1b-297d-e911-a97d-000d3af45d23,4h5doA0HrEm3z558XUPjBJnkmH9bUNQdchPozcDFaL0Hq5LmbI0ZB2MqnfYPn7dLqGARRqPurYVMIEplwZv39w==,2019-05-23 7:05,Western Cape,WC,2019-05-23 1:05
1820468d-d9a5-e611-80bb-00155d64ab22,OlW7DWYYINFbNNv9dLbS1j9IHiGxvSvH0hZK/UgKJ3n12/5BwGW3IMYnSA8htVXfY+88s8bxiNd1MkUqbBPkrg==,2017-10-11 16:17,Wisconsin,WI,2016-11-08 10:34
1a20468d-d9a5-e611-80bb-00155d64ab22,QxQFYHxNIPCvX27dGWZGltYgOaoRPul8iXtNqM3d6Rf0ipzuqkPWzvBPHZrz9qAFbWl7FifW7ZHMG1Jvdwk/oQ==,2017-10-11 16:17,Wyoming,WY,2016-11-08 10:34
4ef451ae-7404-e911-8174-480fcff4b5b1,b6yMXH62hTJi6dunpp8FcldZcXmaaGc+O3nS+Iyhz3m4I2KTh97JpdHhLMNlN1s5pI3TT0q68gHZJIZG2+FA1A==,2018-12-20 16:31,Yucatan,,2018-12-20 9:31
1c20468d-d9a5-e611-80bb-00155d64ab22,7dVrYVc7LwWAruVnPkH5xTmcuou7FxSMkCt2+Eksl/yJvuxqr078M5YN/zt7+y0c1Bcxs26/x9XkkbBxW4oZlQ==,2017-10-11 16:18,Yukon,YT,2016-11-08 10:34
e9ff90d0-b61f-e911-a978-000d3af475a9,6wzA6S2MP1Ym/PYIfTv6F/C6ZQU6N0/FFKmpZ4tB+O/lY1UjHnb2AFe8EJHj39VIgVr2B8XPyq4BYBvA0RHRzw==,2019-01-24 9:03,Zuid Holland,,2019-01-24 2:02
b2d91d8f-7557-e911-a978-000d3af45d23,omIpAtL9Fig9mNJQW1nZ5tUrC9ptT3aJr805u9BYLNiFK0Mu2kcgF8BxLNBzIM/fG9LIqmmLk8/t+NusxuMXCg==,2019-04-05 7:36,Zuid-Holland,,2019-04-05 1:36
